,Amplitude,AndersonDarling,Autocor_length,Beyond1Std,Gskew,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PercentAmplitude,PeriodLS
4431,0.02,0.067486,4,0.330882,0.006,7.8e-05,0.158747,15.181044,0.0007379999999999999,0.008,0.470588,0.00247,24.79683
4432,0.0625,0.010189,14,0.375,-0.0365,-6.1e-05,0.014529,13.311696,0.002588,0.025,0.294643,0.006456999999999999,262.252816
4433,0.0185,0.035342,1,0.236486,-0.004,-5e-06,0.297471,15.089297,0.0005809999999999999,0.005,0.5405409999999999,0.002054,582.826128
4434,0.065,1.4e-05,3,0.36,0.044,7.000000000000002e-06,0.032544,12.9837,0.002977,0.026,0.27,0.009478,46.252676
4435,0.017,0.244339,2,0.285714,0.005,1.1e-05,0.25413,12.655643,0.000676,0.005,0.47619,0.002054,0.940276
4436,0.0345,0.141898,10,0.31666700000000003,-0.006,1.8e-05,0.4498430000000001,13.892463,0.001277,0.011,0.453333,0.004318,114.721
4437,0.6815,0.0,12,0.13333299999999998,-0.312,-0.000246,8.787879,14.955576999999998,0.01686,0.0735,0.82,0.073888,769.20201
4438,0.027000000000000003,0.113257,1,0.3,0.009000000000000001,2.1e-05,1.6740689999999998,16.28729,0.0008439999999999999,0.009000000000000001,0.436667,0.002333,1.032684
4439,0.2245,0.010373,1,0.35786,0.079,-3.1e-05,10.736945,19.188237,0.006248,0.092,0.347826,0.019921,0.727275
4440,0.016,0.005887,1,0.297872,0.0085,5e-06,1.143583,12.867191,0.000657,0.005,0.37234,0.002254,11.482326
4441,0.3675,0.00462,7,0.433962,0.0725,-0.00032900000000000003,0.040847,13.268802,0.01599,0.1625,0.349057,0.032061,115.714033
4442,0.1155,0.002033,10,0.343373,-0.085,-0.00012,0.125418,12.988127,0.005234,0.05,0.415663,0.017769,58.014977
4443,0.0605,0.016425,5,0.34,-0.018000000000000002,-1.7e-05,0.204918,13.797187,0.002311,0.0235,0.346667,0.007464,39.194944
4444,0.261,0.002743,1,0.361905,-0.0555,-1e-06,1.382935,15.829581,0.009144,0.107,0.2,0.020628,0.529822
4445,0.134,0.506618,10,0.310345,0.021,-5.3e-05,0.12717,12.519975,0.005386999999999999,0.042,0.428571,0.015740999999999998,1.001335
4446,0.041,0.0166,4,0.283333,0.005,3e-06,0.03601,14.566703,0.001276,0.012,0.53,0.004943,421.127593
4447,0.3615,0.003582,1,0.363333,-0.125,1.7e-05,0.584637,18.814593,0.009754,0.135,0.383333,0.029645,0.5245609999999999
4448,0.02625,0.462988,1,0.324561,0.0025,-8e-06,0.016606,13.802561,0.001027,0.009000000000000001,0.4824560000000001,0.00384,100.876131
4449,0.048,2.1e-05,7,0.27381,0.0295,0.000104,1.298701,14.798661,0.001423,0.012,0.47619,0.004494,152.099411
4450,0.017,0.14372200000000002,1,0.296667,0.0015,1e-06,0.030562,15.657787,0.0005639999999999999,0.006,0.476667,0.002044,14.16545
4451,0.02175,0.280596,2,0.33552600000000005,0.0045,-2e-06,0.424056,13.343,0.000891,0.008,0.480263,0.003598,0.500051
4452,0.233,0.0,1,0.234114,0.15,1.4e-05,6.825326,19.211893,0.006048,0.058,0.6421399999999999,0.025323,0.544948
4453,0.30525,0.000425,1,0.386139,-0.2105,-5.3e-05,0.29664,18.142832,0.009993,0.121,0.346535,0.026786,0.496944
